variable,missing_pct,observaciones_validas,observaciones_totales,anios_con_datos,primer_anio_con_datos,ultimo_anio_con_datos,paises_con_datos,hay_huecos_temporales,patron_trienal_detectado,patron_quinquenal_o_similar,senal_interpolacion_lineal,paises_con_interpolacion_aparente,senal_forward_fill,gap_anio_2001_wgi,advertencia_principal
account_ownership_pct_adults,84.58,74,480,5,2011,2022,19,sí,sí,no,no,,no,no,"⚠ FRECUENCIA TRIENAL: encuesta disponible solo en 2011, 2014, 2017, 2021, 2024. Cobertura 15.4% en panel anual. Los valores NO están interpolados en este RAW. Los años sin encuesta quedan como NaN. Pa"
domestic_credit_private_pct_gdp,13.33,416,480,24,2000,2023,19,no,no,no,no,,no,no,"Mide profundidad financiera, no acceso individual. Complementa account_ownership. Serie anual continua."
wgi_voice_accountability_est,4.17,460,480,23,2000,2023,20,sí,no,no,no,,no,sí (WGI no publicó 2001),Gap: año 2001 sin datos (WGI no publicó ese año). Cobertura 95.8%. Datos disponibles 1996-2024.
wgi_government_effectiveness_est,4.17,460,480,23,2000,2023,20,sí,no,no,no,,no,sí (WGI no publicó 2001),Gap año 2001. REDUNDANCIA INSTITUCIONAL con otros 5 WGI: todos vienen de la misma encuesta.
wgi_rule_of_law_est,4.17,460,480,23,2000,2023,20,sí,no,no,no,,no,sí (WGI no publicó 2001),Gap año 2001. BLOQUE WGI: 6 dimensiones del mismo índice — alta multicolinealidad intragrupo.
wgi_control_corruption_est,4.17,460,480,23,2000,2023,20,sí,no,no,no,,no,sí (WGI no publicó 2001),Gap año 2001. BLOQUE WGI.
wgi_regulatory_quality_est,4.17,460,480,23,2000,2023,20,sí,no,no,no,,no,sí (WGI no publicó 2001),"⚠ CONCEPTO APROXIMADO: 'Regulatory Quality' mide marco regulatorio GENERAL, no la rigurosidad específica de política ambiental. La consigna pide un índice de política ambiental. Fuente directa: OECD E"
wgi_political_stability_est,4.17,460,480,23,2000,2023,20,sí,no,no,no,,no,sí (WGI no publicó 2001),Gap año 2001. BLOQUE WGI.
tax_revenue_pct_gdp,32.92,322,480,24,2000,2023,17,no,no,no,no,,no,no,⚠ CONCEPTO NO EQUIVALENTE: 'Tax revenue' es recaudación fiscal TOTAL. La consigna pide impuestos ambientales específicos. Fuente directa: OECD Database on Instruments used for Environmental Policy — c
natural_resources_rents_pct_gdp,10.0,432,480,22,2000,2021,20,sí,no,no,no,,no,no,Cobertura 67.1%. Cuba y Venezuela con gaps.
vulnerable_employment_pct_total,0.0,480,480,24,2000,2023,20,no,no,no,no,,no,no,"⚠ NOMBRE INCONSISTENTE: la columna previa se llamaba 'empleo_informal_pct' pero la API entrega 'Vulnerable employment' (empleo vulnerable), que incluye trabajadores por cuenta propia y trabajadores fa"
stock_market_cap_pct_gdp,61.88,183,480,24,2000,2023,10,no,no,no,no,,no,no,⚠ CONCEPTO APROXIMADO: capitalización bursátil ≠ innovación financiera. Cobertura 27.3%. Muchos países AL sin bolsa desarrollada.
